Severity,Gap Type,Expected Method,Expected Endpoint,Component,File Path,Line Number,Backend Status,Backend Endpoint,Description,Recommendation,Affected Features
high,missing_endpoint,GET,/api/v1/,components.analytics.AnalyticsDashboard,components/analytics/AnalyticsDashboard.tsx,126,not_found,,Frontend expects GET /api/v1/ but endpoint does not exist in backend,Implement GET endpoint to retrieve  data. Add route handler in appropriate router file.,analytics
medium,missing_endpoint,PUT,/api/v1/notifications/{id}/read,hooks.useNotificationsQuery,hooks/useNotificationsQuery.ts,66,not_found,,Frontend expects PUT /api/v1/notifications/{id}/read but endpoint does not exist in backend,Implement PUT endpoint to update existing read. Include ID validation and update logic.,"useNotificationsQuery, useNotifications"
medium,missing_endpoint,PUT,/api/v1/notifications/read-all,hooks.useNotificationsQuery,hooks/useNotificationsQuery.ts,115,not_found,,Frontend expects PUT /api/v1/notifications/read-all but endpoint does not exist in backend,Implement PUT endpoint to update existing read-all. Include ID validation and update logic.,"useNotificationsQuery, useNotifications"
medium,missing_endpoint,DELETE,/api/v1/notifications/{id},hooks.useNotificationsQuery,hooks/useNotificationsQuery.ts,159,not_found,,Frontend expects DELETE /api/v1/notifications/{id} but endpoint does not exist in backend,Implement DELETE endpoint to remove notifications. Include ID validation and deletion logic.,"useNotificationsQuery, useNotifications"
medium,missing_endpoint,GET,/api/v1/profile,hooks.useUserProfile,hooks/useUserProfile.ts,20,not_found,,Frontend expects GET /api/v1/profile but endpoint does not exist in backend,Implement GET endpoint to retrieve profile data. Add route handler in appropriate router file.,useUserProfile
medium,missing_endpoint,PUT,/api/v1/profile,hooks.useUserProfile,hooks/useUserProfile.ts,39,not_found,,Frontend expects PUT /api/v1/profile but endpoint does not exist in backend,Implement PUT endpoint to update existing profile. Include ID validation and update logic.,"useUserProfile, ResumeUpload"
medium,missing_endpoint,PUT,/api/v1/notifications/{id}/read,hooks.useNotifications,hooks/useNotifications.ts,84,not_found,,Frontend expects PUT /api/v1/notifications/{id}/read but endpoint does not exist in backend,Implement PUT endpoint to update existing read. Include ID validation and update logic.,"useNotificationsQuery, useNotifications"
medium,missing_endpoint,PUT,/api/v1/notifications/{id}/unread,hooks.useNotifications,hooks/useNotifications.ts,110,not_found,,Frontend expects PUT /api/v1/notifications/{id}/unread but endpoint does not exist in backend,Implement PUT endpoint to update existing unread. Include ID validation and update logic.,useNotifications
medium,missing_endpoint,PUT,/api/v1/notifications/read-all,hooks.useNotifications,hooks/useNotifications.ts,137,not_found,,Frontend expects PUT /api/v1/notifications/read-all but endpoint does not exist in backend,Implement PUT endpoint to update existing read-all. Include ID validation and update logic.,"useNotificationsQuery, useNotifications"
medium,missing_endpoint,DELETE,/api/v1/notifications/{id},hooks.useNotifications,hooks/useNotifications.ts,162,not_found,,Frontend expects DELETE /api/v1/notifications/{id} but endpoint does not exist in backend,Implement DELETE endpoint to remove notifications. Include ID validation and deletion logic.,"useNotificationsQuery, useNotifications"
