Severity,Gap Type,Expected Method,Expected Endpoint,Component,File Path,Line Number,Backend Status,Backend Endpoint,Description,Recommendation,Affected Features
critical,missing_endpoint,GET,/api/v1/auth/refresh,lib.api.examples,lib/api/examples.ts,61,not_found,,Frontend expects GET /api/v1/auth/refresh but endpoint does not exist in backend,Implement GET endpoint to retrieve refresh data. Add route handler in appropriate router file.,
critical,missing_endpoint,GET,/api/v1/auth/refresh,lib.api.examples,lib/api/examples.ts,130,not_found,,Frontend expects GET /api/v1/auth/refresh but endpoint does not exist in backend,Implement GET endpoint to retrieve refresh data. Add route handler in appropriate router file.,
critical,missing_endpoint,GET,/api/v1/auth/refresh,lib.api.examples,lib/api/examples.ts,130,not_found,,Frontend expects GET /api/v1/auth/refresh but endpoint does not exist in backend,Implement GET endpoint to retrieve refresh data. Add route handler in appropriate router file.,
high,missing_endpoint,GET,/api/v1/jobs/search,hooks.useSearchJobs,hooks/useSearchJobs.ts,19,not_found,,Frontend expects GET /api/v1/jobs/search but endpoint does not exist in backend,Implement GET endpoint to retrieve search data. Add route handler in appropriate router file. Include query parameters for filtering and pagination.,
high,missing_endpoint,PUT,/api/v1/applications/{id},hooks.useUpdateApplication,hooks/useUpdateApplication.ts,12,not_found,,Frontend expects PUT /api/v1/applications/{id} but endpoint does not exist in backend,Implement PUT endpoint to update existing applications. Include ID validation and update logic.,
high,missing_endpoint,GET,/api/v1/applications/search,hooks.useSearchApplications,hooks/useSearchApplications.ts,19,not_found,,Frontend expects GET /api/v1/applications/search but endpoint does not exist in backend,Implement GET endpoint to retrieve search data. Add route handler in appropriate router file. Include query parameters for filtering and pagination.,
high,missing_endpoint,GET,/api/v1/analytics/comprehensive-dashboard,hooks.useAnalytics,hooks/useAnalytics.ts,37,not_found,,Frontend expects GET /api/v1/analytics/comprehensive-dashboard but endpoint does not exist in backend,Implement GET endpoint to retrieve comprehensive-dashboard data. Add route handler in appropriate router file.,
high,missing_endpoint,PUT,/api/v1/applications/{id},lib.optimisticUpdates,lib/optimisticUpdates.ts,54,not_found,,Frontend expects PUT /api/v1/applications/{id} but endpoint does not exist in backend,Implement PUT endpoint to update existing applications. Include ID validation and update logic.,
high,missing_endpoint,GET,/api/applications,lib.optimisticUpdates,lib/optimisticUpdates.ts,250,not_found,,Frontend expects GET /api/applications but endpoint does not exist in backend,Implement GET endpoint to retrieve applications data. Add route handler in appropriate router file.,
high,missing_endpoint,GET,/api/jobs,lib.swr,lib/swr.ts,188,not_found,,Frontend expects GET /api/jobs but endpoint does not exist in backend,Implement GET endpoint to retrieve jobs data. Add route handler in appropriate router file.,
high,missing_endpoint,GET,/api/applications,lib.swr,lib/swr.ts,206,not_found,,Frontend expects GET /api/applications but endpoint does not exist in backend,Implement GET endpoint to retrieve applications data. Add route handler in appropriate router file.,
high,missing_endpoint,PUT,/api/v1/applications/{id},lib.bulkActions.applicationActions,lib/bulkActions/applicationActions.ts,35,not_found,,Frontend expects PUT /api/v1/applications/{id} but endpoint does not exist in backend,Implement PUT endpoint to update existing applications. Include ID validation and update logic.,
high,missing_endpoint,PUT,/api/v1/applications/{id},lib.bulkActions.applicationActions,lib/bulkActions/applicationActions.ts,71,not_found,,Frontend expects PUT /api/v1/applications/{id} but endpoint does not exist in backend,Implement PUT endpoint to update existing applications. Include ID validation and update logic.,
high,missing_endpoint,PUT,/api/v1/applications/{id},lib.bulkActions.applicationActions,lib/bulkActions/applicationActions.ts,107,not_found,,Frontend expects PUT /api/v1/applications/{id} but endpoint does not exist in backend,Implement PUT endpoint to update existing applications. Include ID validation and update logic.,
high,missing_endpoint,PUT,/api/v1/applications/{id},lib.bulkActions.applicationActions,lib/bulkActions/applicationActions.ts,143,not_found,,Frontend expects PUT /api/v1/applications/{id} but endpoint does not exist in backend,Implement PUT endpoint to update existing applications. Include ID validation and update logic.,
high,missing_endpoint,PUT,/api/v1/applications/{id},lib.bulkActions.applicationActions,lib/bulkActions/applicationActions.ts,179,not_found,,Frontend expects PUT /api/v1/applications/{id} but endpoint does not exist in backend,Implement PUT endpoint to update existing applications. Include ID validation and update logic.,
high,missing_endpoint,PUT,/api/v1/applications/{id},lib.bulkActions.applicationActions,lib/bulkActions/applicationActions.ts,215,not_found,,Frontend expects PUT /api/v1/applications/{id} but endpoint does not exist in backend,Implement PUT endpoint to update existing applications. Include ID validation and update logic.,
high,missing_endpoint,PUT,/api/v1/applications/{id},lib.bulkActions.applicationActions,lib/bulkActions/applicationActions.ts,251,not_found,,Frontend expects PUT /api/v1/applications/{id} but endpoint does not exist in backend,Implement PUT endpoint to update existing applications. Include ID validation and update logic.,
high,missing_endpoint,DELETE,/api/v1/applications/{id},lib.bulkActions.applicationActions,lib/bulkActions/applicationActions.ts,338,not_found,,Frontend expects DELETE /api/v1/applications/{id} but endpoint does not exist in backend,Implement DELETE endpoint to remove applications. Include ID validation and deletion logic.,
high,missing_endpoint,GET,/api/v1/jobs/cached,lib.api.examples,lib/api/examples.ts,178,not_found,,Frontend expects GET /api/v1/jobs/cached but endpoint does not exist in backend,Implement GET endpoint to retrieve cached data. Add route handler in appropriate router file.,
high,missing_endpoint,GET,/api/v1/jobs/cached,lib.api.config,lib/api/config.ts,89,not_found,,Frontend expects GET /api/v1/jobs/cached but endpoint does not exist in backend,Implement GET endpoint to retrieve cached data. Add route handler in appropriate router file.,
high,missing_endpoint,GET,/api/v1/analytics/comprehensive-dashboard,components.pages.AnalyticsPage,components/pages/AnalyticsPage.tsx,93,not_found,,Frontend expects GET /api/v1/analytics/comprehensive-dashboard but endpoint does not exist in backend,Implement GET endpoint to retrieve comprehensive-dashboard data. Add route handler in appropriate router file.,
high,missing_endpoint,PUT,/api/v1/applications/{id},components.pages.ApplicationsPage,components/pages/ApplicationsPage.tsx,117,not_found,,Frontend expects PUT /api/v1/applications/{id} but endpoint does not exist in backend,Implement PUT endpoint to update existing applications. Include ID validation and update logic.,
high,missing_endpoint,PUT,/api/v1/applications/{id},components.pages.ApplicationsPage,components/pages/ApplicationsPage.tsx,184,not_found,,Frontend expects PUT /api/v1/applications/{id} but endpoint does not exist in backend,Implement PUT endpoint to update existing applications. Include ID validation and update logic.,
high,missing_endpoint,PUT,/api/v1/applications/{id},components.pages.ApplicationsPage,components/pages/ApplicationsPage.tsx,209,not_found,,Frontend expects PUT /api/v1/applications/{id} but endpoint does not exist in backend,Implement PUT endpoint to update existing applications. Include ID validation and update logic.,
medium,missing_endpoint,GET,/api/v1/notifications,hooks.useNotificationsQuery,hooks/useNotificationsQuery.ts,29,not_found,,Frontend expects GET /api/v1/notifications but endpoint does not exist in backend,Implement GET endpoint to retrieve notifications data. Add route handler in appropriate router file.,
medium,missing_endpoint,GET,/api/v1/notifications/preferences,hooks.useNotificationsQuery,hooks/useNotificationsQuery.ts,47,not_found,,Frontend expects GET /api/v1/notifications/preferences but endpoint does not exist in backend,Implement GET endpoint to retrieve preferences data. Add route handler in appropriate router file.,
medium,missing_endpoint,PUT,/api/v1/notifications/{id}/read,hooks.useNotificationsQuery,hooks/useNotificationsQuery.ts,66,not_found,,Frontend expects PUT /api/v1/notifications/{id}/read but endpoint does not exist in backend,Implement PUT endpoint to update existing read. Include ID validation and update logic.,
medium,missing_endpoint,PUT,/api/v1/notifications/read-all,hooks.useNotificationsQuery,hooks/useNotificationsQuery.ts,115,not_found,,Frontend expects PUT /api/v1/notifications/read-all but endpoint does not exist in backend,Implement PUT endpoint to update existing read-all. Include ID validation and update logic.,
medium,missing_endpoint,DELETE,/api/v1/notifications/{id},hooks.useNotificationsQuery,hooks/useNotificationsQuery.ts,159,not_found,,Frontend expects DELETE /api/v1/notifications/{id} but endpoint does not exist in backend,Implement DELETE endpoint to remove notifications. Include ID validation and deletion logic.,
